,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F
0,afrl-mitll-backtrans.4907,0.3498213767197127,0.11149619,0.16909718120799386,0.8556810617446899,0.8470913171768188,0.8510380387306213
1,jhu-pbmt.4986,0.34067123869534516,0.113418154,0.17017928074173375,0.8599083423614502,0.8588374257087708,0.8592024445533752
2,online-A.0,0.3566944187358201,0.11287251,0.17148138931024062,0.8563817143440247,0.8553900122642517,0.8556856513023376
3,online-B.0,0.3190429461582546,0.11725511,0.171485590723482,0.8856398463249207,0.8839738965034485,0.8846445083618164
4,online-F.0,0.4366577695454905,0.10802186,0.1731975380499986,0.8097575902938843,0.8131383061408997,0.811272382736206
5,online-G.0,0.3285446156864298,0.11422786,0.16951798365721057,0.8665814995765686,0.8639177680015564,0.8650793433189392
6,online-H.0,0.3273232948906891,0.11449175,0.16964482344649645,0.8716081380844116,0.868779718875885,0.8699986338615417
7,PROMT-Rule-based.4736,0.3651295911095908,0.113760576,0.1734733989345802,0.8551391363143921,0.8581103086471558,0.8564557433128357
8,uedin-nmt.4756,0.3316849658488393,0.11443644,0.1701637546977504,0.8709284663200378,0.8682987689971924,0.8693571090698242
