,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,CUNI-Transformer.5595,0.24625972010026864,0.18716165,0.212681604159246,0.6417558789253235,0.6394774913787842,0.6405441164970398,0.6417558547796227,0.6394774745806348,0.6405441100467802,0.4062955123243868,0.26006733537754406,0.6379766668784009,0.594
1,online-A.0,0.22473195804920326,0.15201207,0.18135374116973965,0.5662743449211121,0.5587627291679382,0.5625829100608826,0.566274326588138,0.5587627399619762,0.5625829201121729,0.3285808927688607,0.15740212523767916,0.750217027673675,-0.115
2,online-B.0,0.23790365411352102,0.16399063,0.19415041168241656,0.5973283648490906,0.5871822237968445,0.5922417640686035,0.5973283788735659,0.5871821927050946,0.5922417646193421,0.3485724692509704,0.19445256533646904,0.7102415888543057,0.101
3,online-G.0,0.2218441640286318,0.14973551,0.1787931440246202,0.5524899363517761,0.5489298701286316,0.5507591366767883,0.5524899463849582,0.5489298405660865,0.5507591685896507,0.3269754189608074,0.15112146589857856,0.7703529611044062,-0.246
4,uedin.5630,0.23924954811407934,0.17617093,0.20292122151217978,0.62711501121521,0.6216858625411987,0.6243634223937988,0.6271150270230291,0.6216858760449078,0.6243634654613017,0.38802900970600707,0.234166870382677,0.6664972792140422,0.384
