,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,dfki-nmt.6479,0.21238403645616605,0.15460028,0.17894296692969205,0.708228349685669,0.7043809294700623,0.7063360214233398,0.7082283284121534,0.7043809263361175,0.7063360143943495,0.5434345950854212,0.4156550531203471,0.47565756646945606,0.119
1,en_de_task.6790,0.16407675940651034,0.09346188,0.11908832233638202,0.45094192028045654,0.4547088146209717,0.45291778445243835,0.45094191547600726,0.45470880233603644,0.4529178011184838,0.32929997977101416,0.1685330876711735,0.80682871195381,1.769
2,eTranslation.6823,0.21268709512475373,0.15883684,0.18185932639749935,0.7127955555915833,0.7149391770362854,0.7138792276382446,0.7127956330820985,0.7149391880685172,0.7138792327794063,0.5436920175487202,0.4189989457529362,0.47302017249982176,0.130
3,Facebook_FAIR.6862,0.21564170342750558,0.16386396,0.18622068914205445,0.7206936478614807,0.7231346964836121,0.7219401001930237,0.7206936955571354,0.7231347231221426,0.7219400664583467,0.5568379188197288,0.42665190486708054,0.46921852353458315,0.347
4,Helsinki-NLP.6820,0.20886089880891015,0.15364279,0.1770463144437427,0.715165376663208,0.7039026618003845,0.7095231413841248,0.7151653430031488,0.7039026682566838,0.7095231562032065,0.5419153859182196,0.4141066068922021,0.47663173901679856,0.077
5,JHU.6819,0.2106416783998557,0.15558471,0.17897467373235532,0.7148961424827576,0.7102186679840088,0.7125789523124695,0.714896130454379,0.7102186733229076,0.7125789088998726,0.5461630484081675,0.42517053498349244,0.4718321571981847,0.081
6,lmu-ctx-tf-single-en-de.6981,0.20754580605689893,0.1524941,0.1758111292441892,0.6978877782821655,0.6971623301506042,0.6975352168083191,0.6978877935079139,0.6971623621560152,0.69753521378257,0.5349939135070131,0.40306288057656353,0.49632903271794143,0.010
7,Microsoft-WMT19-document-level.6808,0.2143101873597504,0.16449517,0.18612720243610711,0.7244643568992615,0.727603554725647,0.7260376811027527,0.7244644189961386,0.727603605600017,0.7260376584562709,0.5623039707470182,0.43848512186415306,0.45907287285860243,0.296
8,Microsoft-WMT19-sentence_document.6974,0.21328835627417647,0.1637429,0.1852602583933586,0.7244598865509033,0.728089451789856,0.7262782454490662,0.72445977309091,0.7280893897899819,0.7262782934282682,0.5638037536106645,0.43924934480446454,0.45831254306555474,0.311
9,Microsoft-WMT19-sentence-level.6785,0.20741446400112695,0.15780593,0.17924099234622615,0.7139163613319397,0.7136780023574829,0.7138068675994873,0.7139162988780634,0.7136780103938127,0.7138068597347783,0.5544213133029494,0.4296845362624417,0.4662960058925559,0.094
10,MLLP-UPV.6651,0.21258225158962482,0.15636234,0.18018889036943092,0.7120290398597717,0.7082275152206421,0.7101478576660156,0.7120290649761005,0.7082274758187485,0.7101479049139638,0.5380039585599845,0.4172289803260966,0.4827143773611804,0.189
11,MSRA.MADL.6926,0.20936429803976617,0.16026983,0.18155672061808817,0.7288438677787781,0.7244452834129333,0.7266525030136108,0.7288438750689306,0.7244453082158676,0.7266524914254769,0.5630777586746333,0.44926187817534197,0.45037660085061904,0.214
12,NEU.6763,0.21024623535516174,0.15913373,0.18115366866664842,0.7263715267181396,0.7193565964698792,0.7228538393974304,0.7263715317772219,0.7193566277757488,0.7228538252685628,0.5540821339610323,0.4352360721582885,0.4563404376648371,0.208
13,online-A.0,0.2103504393835385,0.15294527,0.177112491710601,0.6997557282447815,0.6966004967689514,0.698174774646759,0.6997557089971373,0.6966004856462457,0.6981747825245261,0.525870610180909,0.41030063203028,0.4974932877135457,-0.072
14,online-B.0,0.21813656045256588,0.15727869,0.1827748447474874,0.7205155491828918,0.6975422501564026,0.7088940739631653,0.7205155204102942,0.6975422288455781,0.708894077100841,0.5293565240337614,0.4123879852115966,0.4860408202057642,0.094
15,online-G.0,0.21361982527538637,0.14450009,0.17238965427202305,0.6886225938796997,0.6649912595748901,0.6767090559005737,0.6886225978181169,0.6649912361579802,0.6767090844959542,0.5192373009335514,0.35143468482998175,0.4969705609808254,-0.119
16,online-X.0,0.21090957781163533,0.13770865,0.16662395017174061,0.6344166994094849,0.6287615299224854,0.6316672563552856,0.6344167524664236,0.628761572930281,0.6316672077866036,0.48642097914624055,0.2947568614270207,0.5831016703495141,-0.400
17,online-Y.0,0.21051915378286318,0.15654184,0.17956174126409763,0.7203104496002197,0.7076524496078491,0.7139596343040466,0.7203104653669467,0.7076524203763523,0.7139595812564351,0.544373629071754,0.4202365860604331,0.4671038562976691,0.038
18,PROMT_NMT_EN-DE.6674,0.21198313158946994,0.14942457,0.17528950199165488,0.6906216144561768,0.6834771633148193,0.6870601773262024,0.6906215772144665,0.6834772113201376,0.6870601754831444,0.5124291982367601,0.37941366814187616,0.5143868653028251,0.001
19,TartuNLP-c.6508,0.21577793219884184,0.14695777,0.17483938601931456,0.680274486541748,0.6710075736045837,0.6756659746170044,0.6802744785278035,0.6710075554388968,0.6756659506199416,0.4978409006308177,0.3642810528951445,0.5309240383016133,-0.132
20,UCAM.6731,0.21089115368357605,0.15757282,0.18037429038846667,0.7241895794868469,0.7138637900352478,0.7190062999725342,0.7241895802404861,0.7138637051128064,0.7190062543064818,0.5496450370604852,0.43008755992812575,0.4635635706987906,0.213
21,UdS-DFKI.6871,0.20608506796703008,0.14643802,0.17121539003870018,0.6948771476745605,0.6762567758560181,0.6853828430175781,0.6948771682130914,0.6762567636308353,0.6853829128952192,0.5242369356691601,0.386481209033165,0.5103238529712263,-0.129
