,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,Alibaba-ensemble-system-with-reranking.5738,0.2081811492655528,0.17124677,0.187916319484268,0.6887536644935608,0.6798728108406067,0.6833926439285278,0.6887535942621797,0.6798728161460865,0.6833926603141086,0.031743923640507536,0.032693968843940595,0.9940444911543177
1,Alibaba-General-System.5743,0.20529979689639125,0.17004406,0.18601616010374047,0.6798317432403564,0.6772612929344177,0.677757203578949,0.6798317979737759,0.6772613032029451,0.6777571808337755,0.03458753593677097,0.04375734160858794,1.0744438605710283
2,Alibaba-General-System.5749,0.20519869847674116,0.17017633,0.18605372476892418,0.6802749633789062,0.6777149438858032,0.6782035231590271,0.6802749654361033,0.6777149427941135,0.67820348554638,0.03458753593677097,0.043766048086099095,1.0742686985461551
3,GTCOM-Primary.5762,0.20824048651175545,0.17312244,0.18906452698383477,0.6852053999900818,0.6853697896003723,0.6845448613166809,0.6852054200814772,0.6853698129132643,0.6845448570991769,0.031751122789960236,0.03188197507421671,1.0185671746365388
4,NICT.5538,0.201492865300033,0.1626134,0.17997735156184302,0.6614540219306946,0.6568955183029175,0.6582654118537903,0.6614540536219806,0.6568955533737569,0.6582654730629839,0.020755814688462302,0.018929471669948388,0.9931686810299527
5,online-A.0,0.19871936066846624,0.14522858,0.16781452722765125,0.6012900471687317,0.6040494441986084,0.6019887924194336,0.6012901156860462,0.6040494400117508,0.6019887745134646,0.009726357063674192,0.005969691925748579,2.413732702750044
6,online-B.0,0.20877804777888997,0.16857977,0.18653783683109137,0.679924488067627,0.6677515506744385,0.6730919480323792,0.6799244822599141,0.6677515899808247,0.6730919691149279,0.028198973667998537,0.05985517087513936,1.044140830267998
7,online-F.0,0.140574478412347,0.1026376,0.11864728832124231,0.43356895446777344,0.4529399573802948,0.44274353981018066,0.43356893256484913,0.4529399801227488,0.44274355700888496,0.02686057852612316,0.018360220238543827,1.0756699947451394
8,online-G.0,0.1400127942841426,0.11009807,0.12326644489880208,0.44813886284828186,0.4760015308856964,0.4615415930747986,0.44813882244994274,0.47600150020489307,0.4615415746048542,0.006119461203610867,0.009608092327962078,1.1457348046943423
9,online-Y.0,0.20498239543744062,0.15378883,0.17573317531160448,0.6252093315124512,0.6253631114959717,0.6246022582054138,0.6252093170907538,0.6253631305638715,0.6246022314561498,0.029657162352258463,0.0075970109415716205,1.2263093361359256
10,Tencent-ensemble-system.5760,0.208622896144165,0.17303313,0.18916862617533162,0.6873670816421509,0.6855171918869019,0.6857146620750427,0.6873671441224091,0.6855171506431845,0.6857146832114566,0.03535724513796683,0.05152968983042164,1.018392012611666
11,uedin.5735,0.18842263032786644,0.13939935,0.16024546086321864,0.6186520457267761,0.5892808437347412,0.6022793054580688,0.6186520231616793,0.5892808711068243,0.6022793210829877,0.02488130764601149,0.021560648457212596,1.1795410754948328
12,UMD.5680,0.19978680083589082,0.16549872,0.18103350817031386,0.6547818183898926,0.6648794412612915,0.659027636051178,0.6547818899314212,0.6648794389705327,0.6590276566865467,0.03989221643368853,0.008196318977268153,4.617796461727098
13,Unisound.5669,0.20636715088682728,0.17125791,0.18718041234640734,0.6772930026054382,0.6795510649681091,0.6776763796806335,0.6772930377823411,0.6795510188028691,0.6776763360588387,0.030739094933604487,0.01171232835700669,0.9945699772289367
