,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,JHU.5703,0.23593228642125236,0.1730095,0.1996300121453406,0.7496640682220459,0.7508915662765503,0.7503355741500854,0.7496641288282196,0.750891534297207,0.750335552275499,0.5502517068377967,0.4338032101538481,0.44949301876831776,0.377
1,KIT.5486,0.23148353616520928,0.17396681,0.19864554438902265,0.7685204744338989,0.757936954498291,0.7632237672805786,0.768520418007804,0.7579368824515743,0.763223718415655,0.5631817940396443,0.46320388977892224,0.4275754100449639,0.454
2,LMU-nmt.5741,0.2322423125861081,0.16271539,0.19135921777871362,0.7334046959877014,0.7221473455429077,0.7278103828430176,0.7334047370193262,0.7221473426650651,0.7278104194373469,0.5252092136881207,0.3997612704153603,0.4799483006571642,0.213
3,LMU-unsup.5651,0.19327600499940673,0.100376986,0.1321318933463402,0.48779940605163574,0.5016821026802063,0.49231046438217163,0.48779939237520414,0.4964157302671275,0.49231048451934295,0.32973537945939985,0.15518411066793195,0.7641490543025139,-1.122
4,Microsoft-Marian.5691,0.23545922506098663,0.18103088,0.20468861460413446,0.7755507230758667,0.7757616639137268,0.7756865620613098,0.7755507624038981,0.7757616936899547,0.7756865317656785,0.5736986079268827,0.4830645712833157,0.40727795678371836,0.551
5,MMT-production-system.5594,0.23476680977167577,0.17516991,0.2006362427282821,0.7646731734275818,0.756227970123291,0.7604559659957886,0.7646731550993523,0.7562280018951214,0.7604559033244271,0.5541707944851829,0.4619822020938906,0.4321992245098575,0.539
6,NTT.5667,0.2333121200893071,0.17809065,0.2019952694800293,0.7633441686630249,0.7677404880523682,0.7655270099639893,0.7633441201572103,0.7677405421088405,0.7655270473324532,0.5695197868044218,0.46475667000809695,0.42590064260098665,0.491
7,online-A.0,0.22357318758664899,0.15429235,0.18258151867913805,0.6960019469261169,0.6914622187614441,0.6938403248786926,0.6960019069718193,0.6914621788580927,0.6938403828045958,0.5095409529219613,0.3452793982895846,0.5327034751424462,0.060
8,online-B.0,0.23787928468658584,0.18020491,0.2050640327540363,0.7755076289176941,0.7665401697158813,0.7710314393043518,0.7755076508196176,0.7665401350575101,0.7710314560644304,0.5652966803714359,0.47694381612861114,0.41292119491016327,0.561
9,online-F.0,0.2185486621048178,0.13408715,0.16620300944646568,0.5820565223693848,0.601408839225769,0.5919283628463745,0.5820565182240984,0.6014088147442248,0.5919284389750054,0.4018629305444917,0.20867094515531204,0.6665210347150164,-0.385
10,online-G.0,0.210380820631415,0.13669945,0.16571926027734243,0.6170971989631653,0.6208978295326233,0.6192122101783752,0.617097173851627,0.6208978463163111,0.6192122232168913,0.4639892664740663,0.2450009613813821,0.6465148453570714,-0.416
11,online-Y.0,0.22496577447429703,0.16359739,0.1894354221680593,0.7165224552154541,0.7150152325630188,0.7158623337745667,0.7165224364001287,0.7150153604505697,0.7158623529651549,0.5334754323563706,0.40768581392815084,0.46389237798773053,0.396
12,online-Z.0,0.23930629051071603,0.18014026,0.20555037066822426,0.7732225656509399,0.7611225843429565,0.7671525478363037,0.7732225603972617,0.7611225777920124,0.7671525951392894,0.5608466242999937,0.46082230663535506,0.4231882475015018,0.653
13,RWTH-UNSUPER.5484,0.2134149351409118,0.11577083,0.15011113497491002,0.5274314284324646,0.5367334485054016,0.5323394536972046,0.527431497490748,0.5367334046692471,0.5323394511026729,0.35896486387654236,0.14752906549536213,0.7530264139952305,-0.966
14,UCAM.5585,0.23471022213956286,0.17910907,0.203174332223859,0.7711288332939148,0.7685795426368713,0.7698885202407837,0.7711288313057679,0.7685795067197546,0.7698884631697837,0.568736839715886,0.4663487618692004,0.41546975406404163,0.537
15,uedin.5770,0.23158457102352756,0.17190656,0.19733225332804893,0.7517852783203125,0.7509760856628418,0.7514283657073975,0.7517852707777801,0.7509760906369369,0.7514283562525162,0.5543029222047695,0.44356675804206774,0.4410099575846941,0.352
