,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,NICT.5708,0.22852506726977387,0.13285233,0.16802427598260494,0.6053099036216736,0.5898707509040833,0.5978537797927856,0.6053098931735537,0.5898707567936896,0.5978537607796025,0.4622886557061773,0.26738456644054015,0.6478782042767964
1,online-A.0,0.2334057361193259,0.1442587,0.1783107108587676,0.6118063926696777,0.5986301302909851,0.6055692434310913,0.6118063594239453,0.5986301725752031,0.6055692337457246,0.4635480812052496,0.24818522787584707,0.6520122194182494
2,online-B.0,0.23507203668970553,0.14655171,0.18054541801234683,0.6143363118171692,0.5979466438293457,0.6064841151237488,0.6143363399185473,0.5979466319678661,0.6064841360764889,0.45539697141696955,0.24839099269971748,0.6536392615221145
3,online-G.0,0.23311087466813593,0.14293572,0.17721139681121362,0.615793764591217,0.5935043096542358,0.6049034595489502,0.6157937648544709,0.5935043307145025,0.6049035101626068,0.4638515920972164,0.24366285264935905,0.6402742728117944
4,uedin.5709,0.23161714884443985,0.13952024,0.17414187614844504,0.6095705032348633,0.6013010144233704,0.6057533621788025,0.6095704574364548,0.6013010354391145,0.6057533823239306,0.46817841913604796,0.26862726023114486,0.6398924159914995
