,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F
0,JAIST.4858,0.3775652163474908,0.141786,0.20615513540855648,0.780221164226532,0.7629668712615967,0.7713047862052917
1,jhu-nmt-lattice-rescore.4904,0.38367233835093173,0.14279233,0.2081259017643315,0.7885271906852722,0.7715595364570618,0.779742956161499
2,jhu-pbmt.4970,0.37571536485545487,0.1419454,0.20604640422484014,0.7858156561851501,0.7668265700340271,0.7759926319122314
3,LIUM-NMT.4953,0.3936566049316568,0.15208264,0.21940271080764503,0.8271172642707825,0.8171463012695312,0.8218790888786316
4,online-A.0,0.3806759276394395,0.15136734,0.21660607369144227,0.8242205381393433,0.8115921020507812,0.8176755309104919
5,online-B.0,0.3629656098297099,0.1583999,0.22055051172731202,0.853706419467926,0.8468127846717834,0.8500774502754211
6,online-G.0,0.36384641292685466,0.15108785,0.2135137484629181,0.8238187432289124,0.8095446825027466,0.8164547085762024
7,uedin-nmt.4932,0.38012692955425137,0.15463713,0.21984176334348018,0.8378729820251465,0.8312320709228516,0.834323525428772
