,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,C-3MA.4958,0.20640178379897037,0.12736218,0.1575231815309956,0.6311467289924622,0.612031102180481,0.6218400001525879,0.6311467568672274,0.6120311568749104,0.621839960895086,0.47773582016932303,0.289814130198327,0.5743953220519181,-0.103
1,KIT.4951,0.23304173109534057,0.15746562,0.1879404360723969,0.690788984298706,0.6826140880584717,0.6869696378707886,0.6907890585068857,0.6826141672754553,0.6869696463019861,0.5249344670627105,0.34562238954734625,0.5238238681669177,0.165
2,LIUM-NMT.4733,0.22156138939780923,0.1403504,0.17184424894464426,0.6486557722091675,0.6398537158966064,0.6445291042327881,0.6486557473346932,0.639853722872225,0.6445290862952177,0.49242911478944945,0.3010341994911008,0.5747851510587402,0.029
3,online-A.0,0.23738264172644605,0.16054769,0.19154727116256526,0.6822594404220581,0.6799077987670898,0.6813573837280273,0.6822593801694559,0.679907792385484,0.6813574038587322,0.515135113320697,0.3248492436261853,0.5434216355098787,0.169
4,online-B.0,0.2432961349876397,0.16355364,0.19561012913042145,0.6957279443740845,0.6858732104301453,0.6910609006881714,0.6957279545372506,0.6858731576857887,0.6910609384197568,0.5145178153987736,0.32971574248083774,0.5392752724373173,0.213
5,online-F.0,0.1806001555208434,0.11670815,0.1417889098161081,0.49799150228500366,0.54725581407547,0.5229775309562683,0.49799145742449114,0.5472558244217073,0.5229774923623415,0.42002765096946293,0.17672219681607168,0.7076814033844245,-0.260
6,online-G.0,0.20504131831756253,0.13519345,0.16294774122965855,0.5867854356765747,0.6056405305862427,0.5965784788131714,0.5867853805803497,0.6056405122202143,0.5965784931631037,0.49357973553168777,0.2604222176650137,0.619243377336759,-0.072
7,RWTH-nmt-ensemble.4920,0.2277485189320008,0.15335627,0.18329165226959163,0.6746683716773987,0.6739188432693481,0.6745845079421997,0.6746684287987232,0.6739188622515562,0.6745845487753002,0.514750851834634,0.331199055342759,0.5417560024807301,0.131
8,SYSTRAN.4846,0.22533332122657063,0.15161502,0.1812657744025865,0.6797815561294556,0.6684587597846985,0.6744018197059631,0.6797815400495698,0.6684587617181461,0.6744018103815764,0.5112659272279169,0.33165325400252466,0.5284840967484717,0.098
9,TALP-UPC.4830,0.20876181691155232,0.12806654,0.15874793791493758,0.6171777248382568,0.6064049005508423,0.6121516823768616,0.6171777035889728,0.6064048985127216,0.6121516342872577,0.47558561010412415,0.280930471582237,0.5823513776911491,-0.058
10,uedin-nmt.4723,0.2377408479590248,0.1622592,0.1928781802234013,0.6940434575080872,0.691227376461029,0.6929088234901428,0.694043474728254,0.6912273654645865,0.6929088378555766,0.5273896473156229,0.3511686659396909,0.5244086116771507,0.162
