,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,Apprentice-c.6706,0.09283218464328656,0.05375181,0.06808244030200432,0.36565765738487244,0.3865812420845032,0.3758834898471832,0.36565765221288893,0.3865812499601452,0.37588345656130695,0.3871953327880094,0.16940471185328598,0.7449022522648866
1,Baidu-system.6940,0.2519735799915325,0.17503525,0.20657305395301556,0.7031356692314148,0.6950794458389282,0.699404776096344,0.7031356148719787,0.6950795216485858,0.6994048316627741,0.6007574028263333,0.3796773079504074,0.5134631026842061
2,BTRANS.6825,0.23904219692285567,0.15509607,0.18812943715528882,0.6694696545600891,0.6550586819648743,0.6626023054122925,0.6694696853049099,0.6550586607828737,0.6626022402190138,0.5625837517742173,0.3343814614146659,0.5637113286399461
3,BTRANS-ensemble.6992,0.2389938906523923,0.15578152,0.1886177856988664,0.6718589067459106,0.6564871072769165,0.6645076274871826,0.6718588921390474,0.6564870996624231,0.664507628537016,0.5643117371206633,0.33836846641420865,0.5590413148963621
4,KSAI-system.6927,0.24816792212231095,0.1712257,0.2026388741836646,0.6950854063034058,0.684431254863739,0.6900686621665955,0.6950853907428682,0.6844312670491636,0.6900686291549355,0.5875722008821644,0.3745687432368234,0.5240933441786105
5,MSRA.MASS.6942,0.24417825411611546,0.16764294,0.19879870402897648,0.7074407339096069,0.6826590299606323,0.6953256130218506,0.707440737368539,0.6826590440794825,0.6953256500717252,0.5962049486130836,0.3829056930475979,0.4954702269093765
6,MSRA.MASS.6996,0.24685694223094928,0.17232643,0.2029659499497289,0.7132478952407837,0.690865159034729,0.7023415565490723,0.713247878100723,0.6908651923015714,0.7023415994662792,0.6013347215379613,0.3933405128119691,0.4877008947353659
7,NEU.6832,0.24304721725124664,0.16141891,0.19399606020977594,0.6830409169197083,0.6658844351768494,0.6747369170188904,0.6830408883467317,0.6658844806998968,0.6747369519406929,0.5690066765358033,0.34190957720638765,0.5456483325386363
8,NICT.6814,0.23343740555020012,0.14658865,0.18008909713568677,0.6433826684951782,0.6289266347885132,0.6364980936050415,0.6433827061951161,0.6289266129434109,0.636498129248619,0.5437773779201993,0.30992601834310374,0.5988275881412504
9,online-A.0,0.22298040972645208,0.13939397,0.17154703165420604,0.6253176331520081,0.6084713339805603,0.617306113243103,0.6253176693599671,0.6084713066429831,0.6173060994129628,0.5310108406559645,0.2883637419293194,0.5792219448573752
10,online-B.0,0.25097765013420165,0.1767424,0.20741787956503244,0.7176870703697205,0.6942557096481323,0.7062502503395081,0.7176870690509677,0.6942556540817022,0.7062502066958696,0.6041758826046251,0.42214895100877975,0.4603259192774802
11,online-G.0,0.2115564237055832,0.12670133,0.15848552958152867,0.5955213904380798,0.5723093152046204,0.5842703580856323,0.5955214006141759,0.5723092992999591,0.5842704128784826,0.5061236446683456,0.25239647297463463,0.6155022017782514
12,online-X.0,0.20712395306093462,0.10662807,0.14078141615289758,0.5548890829086304,0.5216936469078064,0.5387277007102966,0.5548890959471464,0.5216936774794012,0.5387277639899403,0.48105870698290865,0.21437221759398678,0.6386839817126189
13,online-Y.0,0.24231659791077523,0.14789213,0.18367973649701294,0.6635963320732117,0.6272473931312561,0.6457018852233887,0.6635963245686144,0.6272473398260773,0.6457018789062277,0.5247031612824116,0.28709411813156693,0.5631223178975121
14,UEDIN.6530,0.231769113051644,0.137957,0.172961396952767,0.6362689733505249,0.6139035820960999,0.6253418326377869,0.6362689900286496,0.6139035440273583,0.6253418496185914,0.5180787895860153,0.27649701811379457,0.629077496984826
