,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,zh-en.DeepMind.381,0.22651019273470827,0.14986622,0.18038445387493576,0.6831228733062744,0.6801292300224304,0.6819155812263489,0.6831228513643146,0.6801291817296297,0.6819156279191375,0.5708176622041865,0.35407935744158336,0.5482222662863593
1,zh-en.DiDi_NLP.401,0.22686614416739728,0.15028803,0.18080280312326855,0.688386082649231,0.679033100605011,0.6839916706085205,0.6883860913179815,0.6790330521464348,0.6839916509967298,0.5712574466973543,0.3661522944829474,0.5359283720504568
2,zh-en.dong-nmt.1207,0.2067636085314345,0.11581721,0.14846998396565475,0.6301130056381226,0.5938464999198914,0.6122146248817444,0.6301130102276802,0.5938465225291438,0.6122145871408283,0.502810686817226,0.2718059240089851,0.6091273775567791
3,zh-en.Huawei_TSC.889,0.23015929055123896,0.14813848,0.18025719361852213,0.6809057593345642,0.6756069660186768,0.6785203814506531,0.6809058097787202,0.6756070005604997,0.6785203913673759,0.5671912666249799,0.34277782222874287,0.5620719635148945
4,zh-en.Human-A.0,0.34548740149371304,0.3463227,0.3459045392305082,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998465776444,0.9999998465776444,0.9999998465776444,0.8757918364686907,1.0000000000000004,0.0
5,zh-en.Human-B.0,0.24130128018420796,0.14969407,0.18476624206772677,0.6183440089225769,0.6220850348472595,0.6205089688301086,0.6183439568430186,0.6220850010700524,0.6205089895948768,0.48909383129310247,0.2516524097470148,0.662146703070423
6,zh-en.Huoshan_Translate.919,0.22750223865930586,0.15362045,0.18340024117236287,0.6887065172195435,0.6854012608528137,0.687316358089447,0.6887065554857255,0.6854012500345706,0.6873163705170154,0.5780462719169103,0.36638242611555555,0.5347691462912402
7,zh-en.Online-A.1585,0.2043763915682849,0.12425785,0.15455097186028957,0.6278809905052185,0.6141741871833801,0.6213580369949341,0.6278810375276953,0.6141741543897661,0.6213580380696804,0.5256551019809553,0.3030624188649453,0.5988468754289898
8,zh-en.Online-B.1605,0.22541454182382104,0.14768623,0.17845379121187968,0.6816502809524536,0.6709766983985901,0.6765560507774353,0.6816502553150058,0.6709766610004008,0.6765560509115458,0.5645682483334529,0.3551247785200612,0.5464224157654703
9,zh-en.Online-G.1569,0.19969262524710624,0.11831765,0.14859370168951153,0.6084033250808716,0.5937743186950684,0.6013810634613037,0.6084032869290095,0.5937742891656235,0.6013810266086366,0.5220902284184904,0.2745845252282793,0.6081206815027227
10,zh-en.Online-Z.1646,0.19954055502721363,0.0985275,0.13191773831016784,0.5742943286895752,0.536311149597168,0.5556625723838806,0.574294298097957,0.5363111508390866,0.5556626008674502,0.47823520323425234,0.21799677142495252,0.6196671801833407
11,zh-en.OPPO.1422,0.22902042765548752,0.15024218,0.18144962129186026,0.6809988617897034,0.6717188954353333,0.6766549348831177,0.6809988002926112,0.6717188159301877,0.6766548954993487,0.5620039338788928,0.3468677853357997,0.5552233797532069
12,zh-en.SJTU-NICT.320,0.2227797469733613,0.14746524,0.17746233190451957,0.6761733889579773,0.6690563559532166,0.6728997826576233,0.6761734158406034,0.6690563139226288,0.6728998295613564,0.5647807191406281,0.35796294695280667,0.5454614786229618
13,zh-en.Tencent_Translation.1249,0.22820509358557645,0.15191448,0.18240396007553697,0.6925199627876282,0.6817700266838074,0.6874209642410278,0.6925199454054236,0.6817700017057359,0.6874209429249167,0.5751157862324423,0.36760853773274105,0.5302085081069539
14,zh-en.THUNLP.1498,0.23029593867407805,0.1485724,0.18062010918369156,0.6938294768333435,0.6786252856254578,0.6864550709724426,0.6938294351398945,0.6786253493339754,0.6864550981298089,0.5712412672480405,0.35850565709578425,0.5404432513231952
15,zh-en.WeChat_AI.1525,0.2279352471894791,0.14884444,0.18008876168262822,0.6955687403678894,0.6789823174476624,0.68745356798172,0.6955687336809934,0.6789823069311678,0.6874535226132721,0.5744548946531066,0.36940622445090576,0.5346623754976282
16,zh-en.WMTBiomedBaseline.183,0.18880665228779503,0.077399276,0.10979092998736778,0.5274677872657776,0.4759697914123535,0.5019156336784363,0.5274677938739769,0.4759697970240668,0.5019156647421187,0.3973322900106633,0.16439031353089453,0.7330120040877961
17,zh-en.zlabs-nlp.1176,0.20376238741568548,0.10233782,0.1362468782141026,0.5745657682418823,0.5488002896308899,0.5620407462120056,0.5745657812114805,0.5488002464545425,0.562040808178921,0.45397582984185286,0.22060111194457277,0.6740135141318772
