,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F
0,Alibaba-ensemble-model.5713,0.30315204298679194,0.11347622,0.16513784719935082,0.8893285393714905,0.8851937055587769,0.8870598673820496
1,online-A.0,0.3450614646451038,0.10945563,0.166193617333317,0.8599720001220703,0.8580869436264038,0.858863353729248
2,online-B.0,0.3324741912105657,0.11133568,0.16681125199939933,0.8740969896316528,0.8714927434921265,0.8726302981376648
3,online-F.0,0.4480369366002485,0.10381888,0.1685755265164897,0.8002905249595642,0.8037196397781372,0.8018351793289185
4,online-G.0,0.3134640880185436,0.112468086,0.16554140871208084,0.8816673755645752,0.8788730502128601,0.8801098465919495
5,PROMT-Hybrid-Marian.5605,0.33720944198780034,0.111084096,0.16711642210115493,0.870419979095459,0.8684951066970825,0.8692745566368103
6,PROMT-Hybrid-OpenNMT.5654,0.3440875394931182,0.11009785,0.16681865437963606,0.8642242550849915,0.8628462553024292,0.8633468151092529
7,PROMT-Rule-based.5429,0.3770717978736358,0.108434394,0.16843266916824134,0.844428539276123,0.8472557067871094,0.845679521560669
8,uedin.5737,0.3275293581990741,0.11202738,0.1669511665933933,0.8753555417060852,0.8756784796714783,0.8753460049629211
