,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,km-en.GTCOM.1530,0.2526322364213652,0.15431839,0.19159965761226322,0.5858174562454224,0.5583188533782959,0.572365939617157,0.5858174811374267,0.5583188104435224,0.5723658781779674,0.44791701703822095,0.2547545994860781,0.6109912991745371
1,km-en.Huawei_TSC.1539,0.23395929833197668,0.15335053,0.18526657504438865,0.5658199787139893,0.5566282272338867,0.5614914298057556,0.5658200091224742,0.5566282378073585,0.5614914279533469,0.4647633352435829,0.25325228572154646,0.6443320691108302
2,km-en.Human-A.0,0.46145768894497147,0.46244174,0.46194919162054365,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998415338582,0.9999998415338582,0.9999998415338582,0.8196006557392627,1.0000000000000004,0.0
3,km-en.Huoshan_Translate.651,0.2121902545695446,0.11489787,0.14907424873232689,0.4979865252971649,0.47778037190437317,0.4883342385292053,0.49798652742816746,0.477780312253363,0.48833424716284407,0.3951663492761873,0.17576856616282352,0.6925212562901266
4,km-en.Online-B.1600,0.2526979896792347,0.15925738,0.19538048567191305,0.576118528842926,0.560818612575531,0.5687652826309204,0.5761184588230741,0.5608185962673502,0.5687653026708145,0.44364321690118114,0.2363545782076307,0.6383084207134181
5,km-en.Online-G.1565,0.043917935840927805,0.05249343,0.04782430129865424,0.20264069736003876,0.3377036452293396,0.26955005526542664,0.20264070872912396,0.33770365540939534,0.2695500589461078,0.2955454123275841,0.1234609780174146,0.8140849260058005
6,km-en.Online-Z.1641,0.15574424057342787,0.07981568,0.10554284669463411,0.3687869906425476,0.3845803141593933,0.3772493898868561,0.3687869658066904,0.38458032558342453,0.37724937302349454,0.34018529602880715,0.10518267059656797,0.814060137329268
7,km-en.OPPO.1054,0.18321531224302068,0.08694782,0.11793002244359262,0.435922235250473,0.4187392294406891,0.42783230543136597,0.43592223683791137,0.4187392278945732,0.42783228187318256,0.35897962426380187,0.1461791593893793,0.7611611016087853
