,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,dfki-nmt.6478,0.2100498840103494,0.1394173,0.16759564124771464,0.7052391171455383,0.705952525138855,0.7058032155036926,0.7052392059452832,0.7059525015875697,0.7058031456591561,0.5575314600935851,0.38769647888993936,0.48138777409410805,0.066
1,Facebook_FAIR.6750,0.22490076946207185,0.1493902,0.17952862583988236,0.723958432674408,0.7227615714073181,0.7235413193702698,0.723958462074399,0.7227615549508483,0.723541365891695,0.5589944336034071,0.407470756218304,0.4819984877566451,0.146
2,JHU.6809,0.2143120309492088,0.13687596,0.1670567637398966,0.7016875147819519,0.7035301327705383,0.7028133273124695,0.701687534360215,0.7035301542403176,0.7028133784011006,0.5477860313412131,0.38061847776117874,0.5059035654045251,0.086
3,MLLP-UPV.6899,0.21448264761325952,0.13875097,0.1684985458232665,0.7136837244033813,0.7065061330795288,0.7102930545806885,0.7136837570630014,0.7065060833031311,0.710293037891388,0.5482152218681585,0.3930757388003688,0.49078113185598793,0.067
4,MSRA.MADL.6910,0.21601708658735358,0.1506638,0.17751650244625858,0.7276588082313538,0.7306026220321655,0.7293169498443604,0.7276587790958583,0.7306026106802747,0.7293169493488968,0.5676004732267853,0.4278532446090207,0.46201942651078926,0.136
5,NEU.6801,0.20903514777090704,0.14103091,0.16842773620570065,0.7133777141571045,0.715580940246582,0.7146704792976379,0.7133777112215758,0.7155809304900468,0.7146703895241954,0.5612761298315261,0.40509599052932466,0.4755714534985168,0.039
6,online-A.0,0.20506946704656495,0.13252373,0.16100188611239113,0.6808872222900391,0.6882891654968262,0.6848023533821106,0.6808872301355005,0.6882891597002745,0.6848023283947259,0.5316522227052849,0.36414039207256893,0.5182923282731344,0.050
7,online-B.0,0.20761632597503757,0.14732395,0.1723493186550672,0.7215705513954163,0.7151486873626709,0.7185405492782593,0.7215705518777249,0.7151486539514735,0.7185405409352388,0.5736612166567843,0.451997201534523,0.43471180131448844,0.121
8,online-G.0,0.1972653352738554,0.12329114,0.15174279867525645,0.6548317670822144,0.6537514925003052,0.6545042395591736,0.6548317870390602,0.6537514426685811,0.6545042208056985,0.5287686058751301,0.3433922175747703,0.5244285465014832,-0.051
9,online-X.0,0.16885209257295294,0.10338511,0.12824692828461487,0.5697833299636841,0.5786416530609131,0.574495255947113,0.5697833014972276,0.5786416083369404,0.5744952294062823,0.5029814680187294,0.2856785382868332,0.5433897516431105,0.192
10,online-Y.0,0.2078264485092068,0.1396051,0.16701783625185024,0.698958158493042,0.7028116583824158,0.7010812163352966,0.6989580593709834,0.7028116093431599,0.7010812522168272,0.5470551017676762,0.3893589568250511,0.47903216425289363,0.009
11,PROMT_NMT_DE-EN.6683,0.18207701695465808,0.11075499,0.13773042297161825,0.6200999617576599,0.61668860912323,0.6186144351959229,0.6200999907578807,0.6166886222239119,0.6186144328094088,0.5031957110878874,0.3207974998932797,0.5567672890129703,-0.128
12,RWTH_Aachen_System.6818,0.2109810873109859,0.14168723,0.16952657375061245,0.7099161148071289,0.7138051986694336,0.7120360136032104,0.7099161876961589,0.7138051644682418,0.7120360978301614,0.5530238008795688,0.39563442181451963,0.48438317920083757,0.136
13,TartuNLP-c.6502,0.19531292602245734,0.12101302,0.14943704540887096,0.661198079586029,0.6529913544654846,0.6573177576065063,0.6611980485161694,0.6529913509208709,0.657317724998109,0.5156076185594425,0.33923412824275717,0.5294305822136917,0.006
14,UCAM.6461,0.21399495734340976,0.13898079,0.16851689430585254,0.7115556597709656,0.7087385058403015,0.7103519439697266,0.7115556961558759,0.7087384773930535,0.7103519024215639,0.5547369966633339,0.39716547656391105,0.4901122549874949,0.066
15,uedin.6749,0.20167558104214656,0.1252422,0.1545238304731981,0.6779508590698242,0.6698333621025085,0.6741169691085815,0.6779508910030126,0.6698333398774267,0.6741169615546242,0.5227846577099143,0.34965002315243204,0.5143372302681324,0.011
