,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER
0,afrl-mitll-opennmt.4896,0.22587875717954234,0.14901482,0.17956712947359418,0.6719481348991394,0.6620565056800842,0.667290210723877,0.6719481223189917,0.6620565173407021,0.6672902129179624,0.5269173518291129,0.3395433352570631,0.530717791613137
1,afrl-mitll-syscomb.4905,0.22631184312267588,0.14523143,0.1769247051209988,0.6816880702972412,0.6601234078407288,0.671133816242218,0.6816880754637384,0.6601234164510402,0.6711338544770286,0.5292373972855302,0.34711799801779214,0.5159271337747472
2,jhu-pbmt.4978,0.2058204805846177,0.13871129,0.16572999434106486,0.6182559728622437,0.6313956379890442,0.6251096725463867,0.6182559698560052,0.6313956528430341,0.6251096986296255,0.5120143457011741,0.31465840789975313,0.5589649833646276
3,NRC.4855,0.22644533874953499,0.15309969,0.18268562613397576,0.6671553254127502,0.666765034198761,0.6672612428665161,0.6671553755552073,0.666765058134465,0.6672612174573301,0.5341908179532857,0.3387751042643556,0.5263860065223837
4,online-A.0,0.23033778871350336,0.14764254,0.1799440516486671,0.6594924926757812,0.6502931118011475,0.6551641225814819,0.6594924426732087,0.6502930854392256,0.65516406151701,0.5139395841845611,0.3118111338813273,0.5454590374542939
5,online-B.0,0.2558714644937213,0.17921801,0.2107923874850298,0.722885012626648,0.7183513641357422,0.7208983898162842,0.7228850305219445,0.7183513308452273,0.7208983701235133,0.5560809805824788,0.3693534390255126,0.4954870375860592
6,online-F.0,0.1684517863251586,0.11191178,0.13448066461359065,0.4682636857032776,0.5326638221740723,0.500770628452301,0.46826367736724617,0.5326638304526331,0.5007706510026587,0.41141965114090046,0.1590368591809629,0.7366999374114702
7,online-G.0,0.23298810158606997,0.15762226,0.18803449744671502,0.6757775545120239,0.6662939190864563,0.6713523268699646,0.6757775388438638,0.6662938768827406,0.6713523816761723,0.5421244129429651,0.3450622487540293,0.5106400500708239
8,uedin-nmt.4890,0.21839406741695014,0.1374365,0.16870566062484948,0.651589035987854,0.6378864049911499,0.6449423432350159,0.6515890100496979,0.6378864462470951,0.6449424077029582,0.5054789137986725,0.30769031704096045,0.5817768554204961
