,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,online-A.0,0.19300276536826996,0.13213919,0.15687442841885169,0.5683835744857788,0.5969573855400085,0.5825837850570679,0.5683836036287372,0.5969574306025395,0.5825837950583256,0.4492741150050215,0.25122094216707047,0.6366093276359519,-0.068
1,online-B.0,0.2357795677996792,0.146178,0.1804691913685536,0.6395205855369568,0.6247598528862,0.6323764324188232,0.6395206133991529,0.6247598953935598,0.6323764635972096,0.4636279356389022,0.2744760081846659,0.6048902523647784,0.068
2,PJATK.4760,0.1275231548698547,0.12027371,0.12379238864893276,0.46736612915992737,0.5629929304122925,0.514000415802002,0.4673660961358715,0.562992924750595,0.514000377100319,0.4381268357166521,0.2315198972091488,0.6644936269676053,-0.268
3,uedin-nmt.4955,0.24379177895587936,0.15494023,0.18946637765624816,0.6605738401412964,0.6496145129203796,0.6552309989929199,0.6605738479079998,0.6496145167867736,0.6552310162873167,0.48838414983860495,0.30947658782741877,0.5844563748584785,0.181
