,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,C-3MA.4959,0.2399990897327104,0.16015656,0.19211238957311483,0.6142249703407288,0.597026526927948,0.605604350566864,0.614225022867446,0.5970265414924,0.6056043192042896,0.3939722357253704,0.22674635039470753,0.6688244089868075,-0.270
1,fbk-nmt-combination.4870,0.23835191620011817,0.16546434,0.195330139027569,0.6389446258544922,0.6161900758743286,0.6274359226226807,0.6389446152658134,0.6161900548693462,0.6274359668065582,0.42996572105647746,0.263316213125408,0.636231143414154,-0.301
2,KIT.4950,0.2463832016516503,0.17486684,0.204554291641361,0.6429108381271362,0.6362765431404114,0.6396037936210632,0.6429108499528248,0.6362765440456917,0.6396038428707899,0.42951291475911985,0.26076033504662194,0.6409819620313061,0.022
3,LIUM-NMT.4900,0.24672951190766138,0.17588022,0.20536602952758587,0.6486696600914001,0.640742838382721,0.6447504758834839,0.6486696263294067,0.6407428475272917,0.6447504627544398,0.43591231251786494,0.2659580468309487,0.6325213408286487,0.006
4,LMU-nmt-reranked.4934,0.24891950257234827,0.17723486,0.20704804086713652,0.6513455510139465,0.6425374746322632,0.6469792723655701,0.6513455268814069,0.6425374876856605,0.6469792498129304,0.4365584184767566,0.27106980632624295,0.618212102284557,0.257
5,LMU-nmt-single.4893,0.2486759601968854,0.17595659,0.2060895908093597,0.6469802856445312,0.6375656127929688,0.6422865986824036,0.6469803063990114,0.6375656050869255,0.6422865882679601,0.43001854448159527,0.2655924360550534,0.6263698824598263,0.035
6,online-A.0,0.23921420620161496,0.16027425,0.19194485959198962,0.5956640243530273,0.5903251767158508,0.5930972099304199,0.5956639793965613,0.5903251604245264,0.5930972327797558,0.4011787671056966,0.20796506153855993,0.6896825847481688,-0.233
7,online-B.0,0.24772137213409115,0.17859642,0.20755479286016254,0.6445800065994263,0.6422107219696045,0.6434418559074402,0.6445799675508441,0.6422107212255386,0.6434419300585748,0.4342237760801329,0.2665104621633557,0.6319345863380842,0.158
8,online-F.0,0.2295536909054035,0.15255323,0.18329506827740497,0.5359677672386169,0.5538532733917236,0.5450544953346252,0.5359677597781155,0.5538532365530173,0.5450545080978368,0.34550169327217456,0.15451735600953817,0.7558344216682755,-0.440
9,online-G.0,0.22429390780429345,0.1515432,0.180877384513142,0.556797206401825,0.5594797134399414,0.5583163499832153,0.5567972173484306,0.559479707187307,0.5583163245498003,0.393337358368809,0.18158813584410635,0.7334998958983968,-0.491
10,PROMT-Rule-based.4735,0.23461264367878656,0.15807912,0.18888789294115932,0.5454289317131042,0.5695386528968811,0.557611346244812,0.5454289304878757,0.5695386492583985,0.5576113714116034,0.35955546142805267,0.1660860658592576,0.7516325024132644,-0.234
11,RWTH-nmt-ensemble.4921,0.2460074816086813,0.17531829,0.20473283767170417,0.641193687915802,0.6376514434814453,0.6394758820533752,0.6411936064442985,0.637651438098128,0.6394758904675213,0.432214275098518,0.2602450077792544,0.6284708420873317,-0.003
12,SYSTRAN.4847,0.24011790518834797,0.17386882,0.20169253894261818,0.629480242729187,0.6323159337043762,0.6309308409690857,0.6294802225352365,0.6323159529074789,0.6309307668452336,0.43676219221411877,0.26711312256438563,0.6109249900630288,0.092
13,TALP-UPC.4834,0.23814005246694334,0.1563281,0.18875025154708014,0.6005955338478088,0.5831791162490845,0.5919291973114014,0.6005955680705032,0.5831791338412843,0.5919291841575551,0.3893471515997067,0.21240136329511697,0.6846857077962638,-0.391
14,uedin-nmt.4722,0.2504597766179937,0.18464378,0.21257394245955935,0.65644770860672,0.6585185527801514,0.6575418710708618,0.6564477092884704,0.6585185987621883,0.6575418453410605,0.45022469549285293,0.28301225088283294,0.6119849336588874,0.139
15,xmu.4910,0.24828137689140875,0.1790803,0.20807809774440084,0.6402504444122314,0.6432572603225708,0.6418232917785645,0.6402503689862639,0.6432572534771639,0.6418232008016181,0.4326254807076952,0.26688470044635626,0.6217704843563682,0.015
