,SYSTEM,DA_BERT_P,DA_BERT_R,DA_BERT_F,BERT_P,BERT_R,BERT_F,HUG_BERT_P,HUG_BERT_R,HUG_BERT_F,METEOR,BLEU,TER,HUMAN
0,CUNI-Transformer.5560,0.24718036817444558,0.15737928035189638,0.19231314147178516,0.7049270272254944,0.6869711875915527,0.6960552334785461,0.7049269587865541,0.6869711567383118,0.6960552560525815,0.5091445651151592,0.3391471492827371,0.5482832618025751,0.298
1,online-A.0,0.1890162509469333,0.12278827922892373,0.1488687812648941,0.5894181728363037,0.6086186766624451,0.5989423990249634,0.5894181824201082,0.6086187047512026,0.5989424203287721,0.46225250642422183,0.26783440147736337,0.6232474964234621,-0.023
2,online-B.0,0.22801846615011465,0.14045245464967757,0.17383056012519985,0.6716692447662354,0.6476919054985046,0.6598472595214844,0.6716692349578445,0.647691891550911,0.6598472786774441,0.49550319778459884,0.3306188500519761,0.5612303290414878,0.115
3,online-G.0,0.18224888968785763,0.11333053389082572,0.13975508659747357,0.5444972515106201,0.5740342736244202,0.5594280958175659,0.5444972411315092,0.5740342333891307,0.5594280758030286,0.45310212810100065,0.2253037859048915,0.6824213161659514,-0.183
4,uedin.5561,0.23114423903224696,0.13868388135824877,0.17335609952398115,0.6722438931465149,0.6538156270980835,0.6630909442901611,0.6722438983466854,0.6538156123965806,0.6630909128275057,0.49572345809873875,0.31780005420760093,0.5773247496423463,0.165
